# x y T
0.00000000e+00 0.00000000e+00 1.00000000e+02
3.33333333e-02 0.00000000e+00 9.62988137e+01
6.66666667e-02 0.00000000e+00 9.29195742e+01
1.00000000e-01 0.00000000e+00 8.97409601e+01
1.33333333e-01 0.00000000e+00 8.67436088e+01
1.66666667e-01 0.00000000e+00 8.39176932e+01
2.00000000e-01 0.00000000e+00 8.12551429e+01
2.33333333e-01 0.00000000e+00 7.87485396e+01
2.66666667e-01 0.00000000e+00 7.63909286e+01
3.00000000e-01 0.00000000e+00 7.41757739e+01
3.33333333e-01 0.00000000e+00 7.20969348e+01
3.66666667e-01 0.00000000e+00 7.01486488e+01
4.00000000e-01 0.00000000e+00 6.83255151e+01
4.33333333e-01 0.00000000e+00 6.66224800e+01
4.66666667e-01 0.00000000e+00 6.50348228e+01
5.00000000e-01 0.00000000e+00 6.35581424e+01
5.33333333e-01 0.00000000e+00 6.21883454e+01
5.66666667e-01 0.00000000e+00 6.09216347e+01
6.00000000e-01 0.00000000e+00 5.97544992e+01
6.33333333e-01 0.00000000e+00 5.86837033e+01
6.66666667e-01 0.00000000e+00 5.77062789e+01
7.00000000e-01 0.00000000e+00 5.68195165e+01
7.33333333e-01 0.00000000e+00 5.60209581e+01
7.66666667e-01 0.00000000e+00 5.53083900e+01
8.00000000e-01 0.00000000e+00 5.46798370e+01
8.33333333e-01 0.00000000e+00 5.41335567e+01
8.66666667e-01 0.00000000e+00 5.36680348e+01
9.00000000e-01 0.00000000e+00 5.32819810e+01
9.33333333e-01 0.00000000e+00 5.29743250e+01
9.66666667e-01 0.00000000e+00 5.27442141e+01
1.00000000e+00 0.00000000e+00 5.25910103e+01
0.00000000e+00 3.33333333e-03 1.00000000e+02
3.33333333e-02 3.33333333e-03 9.63269118e+01
6.66666667e-02 3.33333333e-03 9.29468709e+01
1.00000000e-01 3.33333333e-03 8.97670292e+01
1.33333333e-01 3.33333333e-03 8.67684781e+01
1.66666667e-01 3.33333333e-03 8.39414254e+01
2.00000000e-01 3.33333333e-03 8.12778029e+01
2.33333333e-01 3.33333333e-03 7.87701898e+01
2.66666667e-01 3.33333333e-03 7.64116293e+01
3.00000000e-01 3.33333333e-03 7.41955823e+01
3.33333333e-01 3.33333333e-03 7.21159058e+01
3.66666667e-01 3.33333333e-03 7.01668350e+01
4.00000000e-01 3.33333333e-03 6.83429669e+01
4.33333333e-01 3.33333333e-03 6.66392458e+01
4.66666667e-01 3.33333333e-03 6.50509491e+01
5.00000000e-01 3.33333333e-03 6.35736738e+01
5.33333333e-01 3.33333333e-03 6.22033251e+01
5.66666667e-01 3.33333333e-03 6.09361042e+01
6.00000000e-01 3.33333333e-03 5.97684985e+01
6.33333333e-01 3.33333333e-03 5.86972713e+01
6.66666667e-01 3.33333333e-03 5.77194532e+01
7.00000000e-01 3.33333333e-03 5.68323336e+01
